LoginTime,LogoffTime,UserName,DomainName,IP,备注
"Mar 8, 2022 @ 03:37:26.378","Mar 8, 2022 @ 03:37:51.353",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:38:48.247","Mar 8, 2022 @ 03:54:09.604",Cindy.Liang,VERSACE,10.86.3.120,
"Mar 8, 2022 @ 03:39:58.167","Mar 8, 2022 @ 03:40:21.426",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:40:38.696","Mar 8, 2022 @ 07:15:07.303",milk.chan,VERSACE,192.168.0.166,
"Mar 8, 2022 @ 03:43:33.089","Mar 8, 2022 @ 03:43:54.414",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:49:25.012","Mar 8, 2022 @ 03:49:46.228",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 03:54:23.192","Mar 8, 2022 @ 04:09:54.736",Cindy.Liang,VERSACE,10.86.3.120,
"Mar 8, 2022 @ 03:55:44.469","Mar 8, 2022 @ 04:11:24.749",Stella.Liu,VERSACE,10.86.3.20,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 04:05:50.189","Mar 8, 2022 @ 08:09:33.262",PC1CSJ0G$,VERSACE,10.86.9.130,
"Mar 8, 2022 @ 04:06:26.584","Mar 8, 2022 @ 04:56:24.034",rebecca.jiang,VERSACE,10.86.3.175,
"Mar 8, 2022 @ 04:11:14.718","Mar 8, 2022 @ 04:33:09.931",Cindy.Liang,VERSACE,10.86.3.120,
"Mar 8, 2022 @ 04:14:19.018","Mar 8, 2022 @ 05:06:55.526",doreen.liu,VERSACE,10.86.3.86,
"Mar 8, 2022 @ 04:22:33.681","Mar 8, 2022 @ 04:37:24.088",carine.shen,VERSACE,10.86.3.119,
"Mar 8, 2022 @ 04:29:07.303","Mar 8, 2022 @ 05:33:27.407",Silvia.Chang,VERSACE,10.86.3.140,
"Mar 8, 2022 @ 04:32:16.922","Mar 8, 2022 @ 04:32:59.604",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:35:00.630","Mar 8, 2022 @ 04:35:23.499",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:36:28.723","Mar 8, 2022 @ 07:59:29.975",haylie.ng,VERSACE,192.168.0.167,
"Mar 8, 2022 @ 04:40:31.586","Mar 8, 2022 @ 04:40:58.309",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:40:36.079","Mar 8, 2022 @ 06:25:26.479",carine.shen,VERSACE,10.86.3.119,
"Mar 8, 2022 @ 04:41:44.298","Mar 8, 2022 @ 06:24:06.368",Philip.Yang,VERSACE,10.86.3.176,
"Mar 8, 2022 @ 04:45:37.036","Mar 8, 2022 @ 04:46:03.650",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:45:39.282","Mar 8, 2022 @ 05:00:55.180",Stella.Liu,VERSACE,10.86.3.20,
"Mar 8, 2022 @ 04:46:11.886","Mar 8, 2022 @ 05:05:20.225",heather.zhou,VERSACE,10.86.3.206,
"Mar 8, 2022 @ 04:46:23.072","Mar 8, 2022 @ 05:15:55.305",victo.chang,VERSACE,10.86.3.165,
"Mar 8, 2022 @ 04:47:58.373","Mar 8, 2022 @ 04:48:17.810",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:49:20.944","Mar 8, 2022 @ 04:49:47.885",Amy.Tang,VERSACE,10.86.3.16,
"Mar 8, 2022 @ 04:49:56.481","Mar 8, 2022 @ 04:50:34.015",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:55:10.308","Mar 8, 2022 @ 05:30:04.965",ginny.cheng,VERSACE,10.86.3.178,
"Mar 8, 2022 @ 04:55:30.838","Mar 8, 2022 @ 04:55:57.639",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 04:56:14.549","Mar 8, 2022 @ 05:58:27.466",Karena.Li,VERSACE,10.86.3.158,
"Mar 8, 2022 @ 04:57:42.612","Mar 8, 2022 @ 04:58:27.868",Gloria.Yang,VERSACE,10.86.3.126,
"Mar 8, 2022 @ 05:07:00.534","Mar 8, 2022 @ 11:24:40.567",Dannie.Hu,VERSACE,10.86.3.139,
"Mar 8, 2022 @ 05:29:23.796","Mar 8, 2022 @ 09:15:51.812",Stella.Liu,VERSACE,10.86.3.223,同一用户的标蓝记录存在登录注销时间重合，无法确认对应关系
"Mar 8, 2022 @ 05:44:32.268","Mar 8, 2022 @ 05:44:57.571",Amy.Tang,VERSACE,10.86.3.16,
"Mar 8, 2022 @ 06:02:10.095","Mar 8, 2022 @ 06:27:11.063",Kyna.Li,VERSACE,10.86.3.32,
